name,recclass,mass,year,reclat,reclong,ID,MeteorClass,SecondClass,Group,Family,ChemGroup,PetroType,Breccia,PetroClass,MetaGrade,MarsType,Lithol,Melt,Other
Northwest Africa 7594,L6,176.5,2003,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7595,L6,320.8,2003,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7596,L6,255.1,2003,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7597,L6,146.4,2003,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7598,L6,97.5,2003,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 761,L6,834,2000,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7650,L6,11115,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7679,L6,241,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7707,L6,2441,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7722,L6,155,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7724,L6,1000,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7737,L6,874,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7738,L6,868,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 775,L6,3280,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7785,L6,600.7,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7841,L6,1070,2012,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 7871,L6,450,2004,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 793,L6,1422,2001,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 798,L6,4280,2001,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 803,L6,6870,2001,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 807,L6,547,2001,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 808,L6,800,2001,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 809,L6,359,2001,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 838,L6,660,2000,27.38833,-9.01733,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 841,L6,8012,2001,30.19267,-9.03667,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 848,L6,4508,2000,28.00083,-9.27,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 875,L6,22,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 893,L6,50.8,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 894,L6,45.8,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 896,L6,39.7,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 897,L6,176,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 898,L6,95.8,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 916,L6,1714,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 986,L6,90,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 988,L6,453,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 990,L6,611,2001,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nova 008,L6,4200,NA,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Noyan-Bogdo,L6,250,1933,42.91667,102.46667,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 004,L6,525,1990,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 005,L6,242,1990,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 008,L6,370,1991,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 011,L6,3388,1980,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 012,L6,7300,1980,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 013,L6,459,1980,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 014,L6,1733,1980,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 015,L6,3986,1980,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 017,L6,117.3,1980,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nullarbor 018,L6,1000,1990,NA,NA,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nurina 004,L6,28.3,1986,-30.78333,126.45,L6,chondrite,ordinary,L,,,6,0,,,,,,
Nurina 006,L6,45.5,1993,-30.46,126.38333,L6,chondrite,ordinary,L,,,6,0,,,,,,
Oesel,L6,6000,1855,58.5,23,L6,chondrite,ordinary,L,,,6,0,,,,,,
Ofehértó,L6,3750,1900,47.88333,22.03333,L6,chondrite,ordinary,L,,,6,0,,,,,,
Ojuelos Altos,L6,5850,1926,38.18333,-5.4,L6,chondrite,ordinary,L,,,6,0,,,,,,
Oldenburg (1930),L6,16570,1930,52.95,8.16667,L6,chondrite,ordinary,L,,,6,0,,,,,,
Oliver,L6,6690,1984,41.2,-103.68333,L6,chondrite,ordinary,L,,,6,0,,,,,,
O'Malley 008,L6,3.4,2011,-30.75806,131.44803,L6,chondrite,ordinary,L,,,6,0,,,,,,
O'Malley 011,L6,33.6,2011,-30.89344,131.39,L6,chondrite,ordinary,L,,,6,0,,,,,,
